id,parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"2562","976","en_US","0","BONIFÁCIO DE ANDRADA","BONIFÁCIO DE ANDRADA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MG","659624",NULL,NULL,"1","0"
"2563","976","en_US","0","BRUNA FURLAN","BRUNA FURLAN é DEPUTADO FEDERAL do PSDB pela Unidade da Federação SP","357624",NULL,NULL,"1","0"
"2564","976","en_US","0","BRUNO ARAÚJO","BRUNO ARAÚJO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação PE","421624",NULL,NULL,"1","0"
"2565","976","en_US","0","CARLAILE PEDROSA","CARLAILE PEDROSA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MG","505624",NULL,NULL,"1","0"
"2566","976","en_US","0","CARLINHOS ALMEIDA","CARLINHOS ALMEIDA é DEPUTADO FEDERAL do PT pela Unidade da Federação SP","154624",NULL,NULL,"1","0"
"2567","976","en_US","0","CARLOS ALBERTO LERÉIA","CARLOS ALBERTO LERÉIA é DEPUTADO FEDERAL do PSDB pela Unidade da Federação GO","570624",NULL,NULL,"1","0"
"2568","976","en_US","0","CARLOS BEZERRA","CARLOS BEZERRA é DEPUTADO FEDERAL do PMDB pela Unidade da Federação MT","458624",NULL,NULL,"1","0"
"2569","976","en_US","0","CARLOS BRANDÃO","CARLOS BRANDÃO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MA","427624",NULL,NULL,"1","0"
"2570","976","en_US","0","CARLOS EDUARDO CADOCA","CARLOS EDUARDO CADOCA é DEPUTADO FEDERAL do PSC pela Unidade da Federação PE","358624",NULL,NULL,"1","0"
"2571","976","en_US","0","CARLOS MAGNO","CARLOS MAGNO é DEPUTADO FEDERAL do PP pela Unidade da Federação RO","350624",NULL,NULL,"1","0"
"2572","976","en_US","0","CARLOS SAMPAIO","CARLOS SAMPAIO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação SP","304624",NULL,NULL,"1","0"
"2573","976","en_US","0","CARLOS SOUZA","CARLOS SOUZA é DEPUTADO FEDERAL do PSD pela Unidade da Federação AM","710624",NULL,NULL,"1","0"
"2574","976","en_US","0","CARLOS ZARATTINI","CARLOS ZARATTINI é DEPUTADO FEDERAL do PT pela Unidade da Federação SP","172624",NULL,NULL,"1","0"
"2575","976","en_US","0","CELIA ROCHA","CELIA ROCHA é DEPUTADO FEDERAL do PTB pela Unidade da Federação AL","691624",NULL,NULL,"1","0"
"2576","976","en_US","0","CELSO MALDANER","CELSO MALDANER é DEPUTADO FEDERAL do PMDB pela Unidade da Federação SC","217624",NULL,NULL,"1","0"
"2577","976","en_US","0","CESAR COLNAGO","CESAR COLNAGO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação ES","632624",NULL,NULL,"1","0"
"2578","976","en_US","0","CHICO LOPES","CHICO LOPES é DEPUTADO FEDERAL do PC do B pela Unidade da Federação CE","713624",NULL,NULL,"1","0"
"2579","976","en_US","0","CIDA BORGHETTI","CIDA BORGHETTI é DEPUTADO FEDERAL do PP pela Unidade da Federação PR","284624",NULL,NULL,"1","0"
"2580","976","en_US","0","CLAUDIO CAJADO","CLAUDIO CAJADO é DEPUTADO FEDERAL do DEM pela Unidade da Federação BA","757624",NULL,NULL,"1","0"
"2581","976","en_US","0","CLEBER VERDE","CLEBER VERDE é DEPUTADO FEDERAL do PRB pela Unidade da Federação MA","953624",NULL,NULL,"1","0"
"2582","976","en_US","0","CLÁUDIO PUTY","CLÁUDIO PUTY é DEPUTADO FEDERAL do PT pela Unidade da Federação PA","437624",NULL,NULL,"1","0"
"2583","976","en_US","0","COSTA FERREIRA","COSTA FERREIRA é DEPUTADO FEDERAL do PSC pela Unidade da Federação MA","992624",NULL,NULL,"1","0"
"2584","976","en_US","0","CÂNDIDO VACCAREZZA","CÂNDIDO VACCAREZZA é DEPUTADO FEDERAL do PT pela Unidade da Federação SP","883624",NULL,NULL,"1","0"
"2585","976","en_US","0","CÉSAR HALUM","CÉSAR HALUM é DEPUTADO FEDERAL do PSD pela Unidade da Federação TO","572624",NULL,NULL,"1","0"
"2586","976","en_US","0","DALVA FIGUEIREDO","DALVA FIGUEIREDO é DEPUTADO FEDERAL do PT pela Unidade da Federação AP","871624",NULL,NULL,"1","0"
"2587","976","en_US","0","DAMIÃO FELICIANO","DAMIÃO FELICIANO é DEPUTADO FEDERAL do PDT pela Unidade da Federação PB","253624",NULL,NULL,"1","0"
"2588","976","en_US","0","DANIEL ALMEIDA","DANIEL ALMEIDA é DEPUTADO FEDERAL do PC do B pela Unidade da Federação BA","844624",NULL,NULL,"1","0"
"2589","976","en_US","0","DANILO FORTE","DANILO FORTE é DEPUTADO FEDERAL do PMDB pela Unidade da Federação CE","679624",NULL,NULL,"1","0"
"2590","976","en_US","0","DANRLEI DE DEUS HINTERHOLZ","DANRLEI DE DEUS HINTERHOLZ é DEPUTADO FEDERAL do PSD pela Unidade da Federação RS","906624",NULL,NULL,"1","0"
"2591","976","en_US","0","DARCÍSIO PERONDI","DARCÍSIO PERONDI é DEPUTADO FEDERAL do PMDB pela Unidade da Federação RS","320624",NULL,NULL,"1","0"
